account_id,date,account_status,overdraft_balance,overdraft_limit,in_financial_difficulties_flag,total_value_transactions_made
-4227645609154322831,2020-06-30,OPEN,370.05,450.56,0,6.98
5187645937112767124,2020-06-30,OPEN,336.08,411.08,0,37.33
-8100050990491419834,2020-06-30,OPEN,234.76,346,0,7.94
-6695325666484285515,2020-06-30,OPEN,361.06,453.52,0,2311.13
-1176644716530201587,2020-06-30,OPEN,61.91,62.58,0,1.71
3930245016891180625,2020-06-30,OPEN,272.67,303.22,0,8.6
-1947034724164724962,2020-06-30,OPEN,464.21,480.6,0,147.25
1742186822857280414,2020-06-30,OPEN,299.26,499.26,0,28.89
-8277474241446289991,2020-06-30,OPEN,326.9,538.4,0,10.22
-3314965460669113654,2020-06-30,OPEN,441.27,461.6,0,12.72
1156812527275889200,2020-06-30,OPEN,285.72,348.96,0,9.29
-4143672814953105261,2020-06-30,OPEN,488.64,498.92,0,13.75
2347216133145803034,2020-06-30,OPEN,417.6,430.54,0,125.24
-3176893957252003657,2020-06-30,OPEN,216.08,316.08,0,8.55
7954102305699096584,2020-06-30,OPEN,274.46,327.8,0,35.55
-1921758617856078922,2020-06-30,OPEN,140.44,177.5,0,83.98
-440809480182720389,2020-06-30,OPEN,72.78,72.94,0,2.01
2242464662550425809,2020-06-30,OPEN,408.76,426.22,0,39.09
6901129500838519201,2020-06-30,OPEN,399.2,400.62,0,11.56
3408268132475585042,2020-06-30,OPEN,402.49,450,0,74.43
6077008555296826644,2020-06-30,OPEN,226.43,450,0,1067.93
-8184670860266006764,2020-06-30,OPEN,449.3,450,0,740.02
-1373110638901648018,2020-06-30,OPEN,449.51,450,0,20.5
952125701974917068,2020-06-30,OPEN,427.15,450,0,624.69
-959039029309929524,2020-06-30,OPEN,156.97,450,0,208.27
997357898980806043,2020-06-30,OPEN,375.27,450,0,61.71
-8182309059780028433,2020-06-30,OPEN,315.62,450,0,1221.7
-3213280744447274029,2020-06-30,OPEN,449.56,450,0,215.81
8696004989771976815,2020-06-30,OPEN,242.72,450,0,11.11
-4978386364794475827,2020-06-30,OPEN,385.65,450,0,35.19
4607948682354894920,2020-06-30,OPEN,436.99,450,0,12.65
-839883457517749415,2020-06-30,OPEN,427.17,450,0,12.75
-8521556045278230921,2020-06-30,OPEN,434.98,450,0,115.84
6997007961340368803,2020-06-30,OPEN,442.01,450,0,550.43
1041863838673080839,2020-06-30,OPEN,361.68,450,0,36.63
1878471667018671641,2020-06-30,OPEN,441.89,450,0,34.86
-8777503952979988578,2020-06-30,OPEN,222.6,450,0,2053.05
5562030444312180243,2020-06-30,OPEN,436.73,450,0,119.53
329883268351454763,2020-06-30,OPEN,442.15,450,0,90.24
-4780300579705698043,2020-06-30,OPEN,446.24,450,0,2748.82
-2805685604690215858,2020-06-30,OPEN,310.54,450,0,191.67
3468864188240507675,2020-06-30,OPEN,443.25,450,0,120.23
-783746184291871650,2020-06-30,OPEN,306.89,450,0,748.28
175641737211888013,2020-06-30,OPEN,85.45,450,0,2.02
-4630706349161349377,2020-06-30,OPEN,418.64,450,0,140.48
-2873643983084153657,2020-06-30,OPEN,405.49,450,0,272.32
-3777583268857888315,2020-06-30,OPEN,83.99,450,0,808.32
2468980599753656455,2020-06-30,OPEN,430.43,450,0,205.89
-4633194294326143022,2020-06-30,OPEN,100.36,450,0,3062.14
5405524355617735856,2020-06-30,OPEN,350.3,450,0,30.72
4782115400812482912,2020-06-30,OPEN,240.44,450,0,288.23
1719701649029504171,2020-06-30,OPEN,442.64,450,0,1486.32
-3565400042893784255,2020-06-30,OPEN,423.52,450,0,417.74
4558953687599113192,2020-06-30,OPEN,234.84,450,0,837.18
-3056919691381393647,2020-06-30,OPEN,401.75,450,0,11.05
-9089143423407216561,2020-06-30,OPEN,436.23,450,0,307
5425035614180923701,2020-06-30,OPEN,357.65,450,0,223.19
2860729283486831655,2020-06-30,OPEN,355.7,450,0,356.9
1282800538228739486,2020-06-30,OPEN,433.31,450,0,61.68
601355386446861380,2020-06-30,OPEN,436.89,450,0,442.14
-7239881187442301156,2020-06-30,OPEN,442.72,450,0,12.74
-839267583221270423,2020-06-30,OPEN,436.75,450,0,147.72
-7332139086616255511,2020-06-30,OPEN,311.64,450,0,29.73
-7219712252731943743,2020-06-30,OPEN,110.5,450,0,1718.86
6151969464508439208,2020-06-30,OPEN,393.67,450,0,11.17
-4766676191545468263,2020-06-30,OPEN,425.36,450,0,12.32
4409524388218604171,2020-06-30,OPEN,434.98,450,0,9.72
